page,text_arabic_ocr
96,"فهرس القانون

الباب الرابع

‎٠0 ِّ‏ بي ‎٠0‏
‏الأحكام العامة والرقابة واجراءات

‏الطعن
‏(الفصل الثاني)
الرقابة
المواد من 57 الى 1ه"
97,"(الفصل الثاني) (الفصل الثاني)
(مادة ؟0) (مادة 09)
تحدد اللائحة التنفيذية نظم الرقابة اللازمة على دفاتر | في تطبيق أحكام المادة (07) من القانون» تتم الرقابة
ومستندات المسجلين» ونظم الحسابات الألية وأجهزة البيع | المتعلقة بالضريبة وضريبة الجدول على أسس مستندية
الإلكتروني التي يستخدمها المسجلون في مباشرة نشاط بيع | ودفترية» وعند استخدام المسجل لأنظمة الحاسب الآلي
سلعة أو أداء أو استيراد خدمة خاضعة للضريبة أو ضريدبة | يحق للمصلحة مراجعة واختبار هذه الأنظمة للتأكد من
الجدول, بهدف التحقق من التزام المسجل بحسابهما وفقا | جودتها.
لأحكام هذا القانون. وفى حالة عدم توافر هذه الأسس فلرئيس المصلحة تحديد
وللوزير أو من يفوضه تقرير الأحكام» والقواعد الإجرائية اللازمة | القواعد والضوابط اللازمة لأحكام الرقابة» ويجوز له في بعض
لتطبيق أحكام هذا القانون» بما يتماشثى وطبيعة نشاط بعض | الحالات» لاعتبارات خاصة تتعلق بطبيعة السلعة وضع
المسجلين. اجراءات للرقابة وتقرير نظام رقابي خاص بها.
ومع_مرعاه حكم الفقرة السابقة يراعى بالنسبة لسلع
وخدمات الجدول المرافق للقانون ما بأتي:
١-لا‏ يجوز إجراء عمليات تحويل الكحول النقي للوقود أو
للصناعة إلا في مصانع إنتاجه أو في المناطق الجمركية إذا كان
مستوردا.
ويشترط في جميع الأحوال أن يتم التحويل بحضور لجنة
من المصلحة يصدر بتشكيلها قرار من المدير العام
المختص.
واذا كان تحويل الكحول لأغراض الصناعة يتم وفقا
لنظام صناعي خاص وجب الحصول على موافقة هيئة
الرقابة الصناعية في كل حالة على حده.
١-بعد‏ إتمام عملية التحويل سواء للوقود أو للصناعة تؤخذ
عينة ثلاثية من الناتج ومن المواد الأخرى التي استعملت في
المحاسب القانوني 004 ام"
98,"التحويل وتختم الأوعية التي تم التحويل بداخلها ولا يفرج
عن الكمية إلا بعد ورود نتيجة التحليل من المعمل بأنها
محولة تحودلا كافيا.
“""-على أصحاب المصانع والمعامل الذين يسمح لهم
بالحصول على كحول محول للصناعة إمساك دفاتر
وسجلات مبين بها الكمية الواردة وكيفية التصرف فيها
وتكون هذه الفواتير والسجلات خاضعة لإشراف المصلحة.
:-يقصد بالكحول المحول للصناعة الكحول المحول
لاستخدامه في إحدى الصناعات الأساسية التي يصدر
بتحديدها قرار من رئيس المصلحة بعد الاتفاق مع رئيس
هيئة الرقابة الصناعية وتحديد مواد ونسب التحويل في كل
حالة.
١-تلتزم‏ المصانع والمعامل التي تنتج نبيذ العنب الطازج
وعصير العنب الذي أوقف اختماره باضافة الكحول
والمشروبات الكحولية بامساك سجلات لإثبات مراحل
التصنيع المختلفة .( تخمير- تقطير- تكرير- كسر-
تخفيف- تعبئة) وإخطار المصلحة قبل كل عملية بأريع
وعشرين ساعة على الأقل لندب من يلزم لأعمال الرقابة بما
في ذلك وضع الأختام على الأجهزة والأدوات.
وعلى صاحب الشأن فور انتهاء عملية التقطير وكذا عمليات
التخمير (بالنسبة للأنبذة) أن يحدد ميعاد التعبئة وتظل
الكميات المنتجة حتى تتم التعبئة تحت الرقابة المباشرة
للمصلحة.

المحاسب القانوني 77004 أاضخطه ما"
99,"وبقوم مندوب المصلحة باإثبات الكميات المعبأة ووضع
العلامات المميزة (بندرول) واثبات مقدار الضريبة
المستحقة وأخذ التعهد اللازم بأدائها وتثبت كل الإجراءات
في محضر يوقع عليه من مندوب المصلحة والمسجل أو من
يفوضه قانونا.
؟-على صاحب الشأن إخطار المصلحة بعد تعبئة
المشروبات الكحولية الداخل في صناعتها الكحول الاثيلي
النقي غير المحول مهما بلغت درجته الكحولية بأربع
وعشرين ساعة لندب من يلزم للاطلاع على السجلات
الممسوكة بمعرفة المسجلات والمدون بها كميات الكحول
النقي المشتراة والتي تم كسرها و تعبئتها والاطلاع على فواتير
الشراء وخصم الكميات التي تم كسرها وتعبئتها على الفواتير
وأخذ إقرار على صاحب الشأن بأن الكحول النقي الذي تم
كسره مسدده عنه الضريبة وضريبة الجدول المستحقة وانه
ليس ناتجا من كحول آخر تم الحصول عليه بالتقطير
بمعرفته أو من كحول محول للصناعة أو للوقود.
وتلصق علامة مميزة تعد لهذا الغرض على مسئولية صاحب
الشأن على المشروبات الواردة قرين المسلسلين رقمي (؟/ج»
/""/د) من البند) ثانيا) من الجدول.
“ا-على صاحب الشأن فيما يختص بصناعة العطور
والكولونياء إمساك سجلات لإثبات الكميات المشتراة من
الكحول النقي المستخدم في صناعتها طبقا للجدول المرافق
للقانون» ويثبت في السجلات رقم الفاتورة وتاريخها.
المحاسب القانوني 70 722720017 انا"
100,"ومع مراعاة خكم الفقرة السابقة من هذه المادة يُراعي
بالنسية للسلع والخدمات الخاضعة للضرببةء او ضردية
الجدولء او كليتهما ما بأنّ:""*
يراعى عند نقل كمية من الكحول أو السوائل الكحولية أو
الكحول المحول للوقود يزيد مقدارها على خمسة لترات من
الكحول الصرف وسواء كانت تلك الكمية مستوردة من
الخارج أو محلية من بلد الى آخر الحصول على ترخيص
بذلك من المصلحةء ولا يصدر هذا الترخيص إلا بعد التحقق
رابعا:
يلتزم كل منتج صناعي أو مستورد للسلع التالي بيانها بوضع
العلامات المميزة "" البندرول "" او علامات مميزة مؤمنة تدل
علي سد اد الضردبة او ضردبة الجدول » حسبا الأحوال 2 علي
تلك السلع قبل تداولها بالأسواق:
١-سلع‏ واردة ضمن المسلسل رقم ‎)١(‏ من البند (اولا) من
الجدول المرافق للقانو ود تخضح لضريبة الجدول فقط: *

2 السجائر

* المعسل والنشوق والدمغة

# تمباك

سيجار وتبغ الغليون ومكبوس

السائل الالكتروني

دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع دمع .طتوم لاع صق ااهل ©50مز :اتجصع | 100
المحاسب القانوني 700 7220202 اا"
101,"؟-سلع واردة ضمن المسلسل رقم"" (ج» د) من البند (ثانيا)
من الجدول المُرافق للقانون وتخضع للضريبة وضريبة
الجدول : *
* نبيذ عنب طازج
عصير عنب أوقف اختماره بأضافه الكحول "" بما
في ذلك المستلا""
* فرموت وأنبذة أخرى
* مشروبات مخمرة
* مشروبات روحيه ومشروبات كحوليه محلاةء
معطرة
* مشروبات كحوليه أخرى
محضرات كحوليه مركبه
* مقطرات طبيعية
الجعة (البيرة) الكحولية
'""- سلع تخضع للضريبة بالسعر العام:
- السجائر الالكترونية المحتوية علي سائل الكتروني
وبطارية في بدن واحد يتم التخلص منها عند نفاذ السائل
الإلكتروني.""*
*معدلة بالقرار الوزاري رقم ‎-١9.-‏ الصادر في ٠-مايو-‏
500
خامسا:
مع عدم الإخلال بأحكام القانون رقم 917 لسنة ‎١975‏ في شأن
الشعبية» والتو سكاني» ودخان الغليون» المعسل» والنشوق»
والدمغة» ودخان الشعر المخلوط وغير المخلوط أن تمسك
سجلات تثبت بها كميات التبغ المشتراة والداخلة في
التصنيع وعلى صاحب الشأن الاحتفاظ بالمستندات المثيتة
لذلك
دكان الضرائب تجميع واعداد: مصطفي سلامة عبد السميع نمع طتأوءلاعصقاكاه0 © مهلصا :اصع [1011
المحاسب القانوني 4 هن انطهالا"
102,"ولا يجوز للمستورد بيع التبغ الخام لغير المصانع المرخصة
والمسجلة لدي المصلحة» وعلى المستورد إخطار المأمورية
التابع لها ببيان بالمصانع التي يتم البيع لها وكميات التبغ
الخام المباعة لتلك المصانع خلال أريعة ايام من تاريخ البيع
على النموذج رقم ‎٠١9(‏ ض.ق.م)مع موافاة المأمورية بصورة
من صفحة دفتر الخامات المثبت بها هذه المبيعات» وتتولي
المأمورية بعد ذلك إخطار المأموريات كل فيما يخصه
(مادة 07)
*ملغاة بقانون الإجراءات الضريبية الموحد الصادر بتاريخ ‎-١9‏
‎5.5.2٠‏
‏(مادة 05)

لا يعتد بأية معاملة بكون الغرض الرئيسي من إتمامها أو أحد

أغراضها الرئيسية تجنب الالتزام بالضرببة وضريبة الجدول أو

تأجيله أو تخفيض عبء الضرببة ويعتبر في تطبيق هذه المادة

١-التصرفات‏ التي تتم بين الاشخاص المرتبطين في بيع السلع

والخدمات الخاضعة للضريبة وضريبه الجدول ويكون الهدف

منها عدم بلوغ أحدهم أو جميعهم حد التسجيل المقرر قانونا.

؟-إنشاء شركات أو تقسيمها أو تجزته المعاملات لأغراض

ضريبية.

ويترتب على اعتبار المعاملة تجنبا للضريبة أحقية المصلحة في

إلزام المكلف بالتسجيل أو أداء الضييبة على اساس القيمة

الحقيقية وفقا لظروف السوق وقوى التعامل وذلك كله دون

الاخلال بحق المكلف في إثبات أن المعاملة تمت لغير أغراض

التجنب الضربي وتشكل لجنة أو أكثر برئاسة رئيس المصلحة

المحاسب القانوني 004 0 0 اما"
103,"أومن يفوضه وعضويبه أثنين من العاملين بها بوظيفه مدير
عام على الاقل وتختص بنظر حالات التجنب وبكون قرارها
ملزما للمأمورية المختصة
المحاسب القانوني 70 722720017 انا"
104,"فهرس القانون

الياب الرابيع

‎٠.0 ٠.0 ٠. 5‏
الأحكام العامة والرقاية واجراءات

‏الطعن
‏(الفصل الثالث)
إجراءات الطعن
المواد من 5ه الى 71"
105,"(الفصل الثالث) (الفصل الثالث)
إجراءات الطعن إجراءات الطعن
(مادة 060) (مادة ‎)٠١‏
‏*ملغاة بقانون الإجراءات الضريدية الموحد الصادر بتاريخ ‎-١5‏ | *ملغاة بالقرار الوزاري رقم ‎١181‏ لسنة ‎٠١7١‏ والصادر بتاريخ
(مادة 51) (مادة ‎)1١‏
‏*ملغاة بقانون الإجراءات الضريبية الموحد الصادر بتاريخ+ ‎١9‏ | *ملغاة بالقرار الوزاري رقم 5/1 لسنة ‎١5١‏ ؟ والصادر يتاريخ
‎7١7 ١-وينوي-""” 5.5.0٠‏
(مادة ‎)1١7‏
‏*ملغاة بالقرار الوزاري رقم 181 لسنة ‎٠١7١‏ والصادر بتاريخ
”""-يونيو-١ ‎5١37‏
‏(مادة ؟1)
*ملغاة بالقرار الوزاري رقم 581 لسنة ‎٠١7١‏ والصادر بتاريخ
”""-يونيو-١ ‎5١37‏
‏(مادة 16)
*ملغاة بالقرار الوزاري رقم 581 لسنة ‎٠١7١‏ والصادر بتاريخ
”""-يونيو-١ ‎5١37‏
‏(مادة 164)
*ملغاة بالقرار الوزاري رقم 581 لسنة ‎٠١7١‏ والصادر يتاريخ
”""-يونيو-١ ‎5١37‏
‏| كان ااضراتب | تجميع واعداد: مصطني سلامة عبد السميع دمع . اتدل اعصق كلكا هل © ممصا :اأهصدع عمد
المحاسب القانوني 004 0000<م طم"
106,"(مادة 151)
*ملغاة بالقرار الوزاري رقم 1 لسنة ‎٠١7١‏ والصادر بتاريخ
”""-يونيو-١ ‎5١7‏
‏(مادة /اه) (مادة /11)
*ملغاة بقانون الإجراءات الضريبية الموحد الصادر بتاريخ ‎-١19‏ *ملغاة بالقرار الوزارى رقم ‎١/81‏ لسنئة ‎٠١5١‏ والصادر بتارر+
”""-يونيو-١ ‎7١7‏
‏اللا ع*
(مادة 18)
*ملغاة بالقرار الوزاري رقم 1 لسنة ‎٠١7١‏ والصادر بتاريخ
”""-يونيو-١ ‎5١7‏
‏(مادة 084) (مادة ‎)٠١‏
‏*ملغاة بقانون الإجراءات ا لضريبية الموحد الصادر بتاريخ ‎-١9‏ *ملغاة بالقرار الوزارى رقم 587 لسنة ‎٠١7١‏ والصادر بتارى:
لك ""-يونيو- ‎7١17١‏
‏(مادة 09) (مادة الا).
*ملغاة بقانون الإجراءات الضريبية الموحد الصادر بتاريخ 19 - ‎١‏ *ملغاة بالقرار الوزاري رقم 1 لسنة ‎٠١5١‏ والصادر بتاريخ
-2 15 ”""-يونيو-١ ‎5١7‏
‏(مادة ‎)1٠١‏
‏*ملغاة بقانون الإجراءات الضرديية الموحد الصادر بتاريخ ‎-١9‏
‎5.5.2٠‏
‏(مادة١1)‏
‏*ملغاة بقانون الإجراءات الضرديية الموحد الصادر بتاريخ ‎-١9‏
‎5.5.2٠‏
‏دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع دهع طأقءل اعصقا)اه00 © مم1 :اتصع |[ 106
المحاسب القانوني 4 اأ<32اأاضخط هما"
107,"(مادة 157)
تطبق أحكام واجراءات التحكيم المنصوص عليها في قانون
الجمارك بالنسبة للسلع والخدمات المستوردة التي تخضع
لرقابة مصلحة الجمارك.
المحاسب القانوني 4 0 طم"
108,"فهرس القانون
الياب الرابيع
الأحكام العامة والرقاية واجراءات
الطعن
(الفصل الرابع)
موظفو المصلحة وواجباتهم
المواد من ‎17١‏ الى 16"
109,"(الفصل الرابع)
موظفو المصلحة وواجباتهم

(مادة 117)
ولهم في سبيل ذلك بأذن كتابي من رئيس المصلحة او من ينيبه
معاينة المعامل والمصانع والمخازن والمحال والمنشأت وغيرها
ممن تباشر نشاطا في سلع او خدمات خاضعة للضريبة» ويجوز
في حالات الضبط الاستعانة برجال السلطات الأخرى إذا تطلب
الامر ذلك.
*معدلة بقانون الإجراءات الضريبية الموحد بتاريخ 9١-أكتوير-‏
م

(مادة 16)
لموظفي المصلحة ممن لهم صفة الضبطية القضائية الحق في
الاطلاع على الاوراق والمستندات والدفاتر والسجلات والفواتير
والوثائق أيا كان نوعها المتعلقة بتطبيق احكام هذا القانون
وضبطها عند توافر دلائل على وجود مخالفة لأحكامه.
ولهم بأذن كتابي من رئيس المصلحة او من ينيبه اخذ عينات
محددة من السلع للتحليل أو الفحص.
*معدلة بقانون الإجراءات الضريبية الموحد بتاريخ 9١-أكتوبر-‏
ا

(مادة 16) (مادة ٠/ا)‏
في غير حالات التلبس بالجريمة» لا يجوز اتخاذ اي اجراء من ‎١‏ في تطبيق حكم المادة (105) من القانون تشكل لجنة برئاسة
اجراءات التحقيق في الجرائم التي تقع من موظفي المصلحة | رئيس المصلحة أو نائبه وعضوية كل من رئيس قطاع شئون
ممن لهم صفة الضبطية القضائية اثناء تأدية عملهم او بسيبه | المناطق والمراكز والمنافذء ورئيس الإدارة المركزية لشئون
الا بناء على طلب كتابي من الوزير اومن يفوضه. مكتب رئيس المصلحة» رئيس الإدارة المركزية للشئون

المحاسب القانوني 77004 أاضخطه ما"
110,"القانونية ومدير عام الإدارة العامة للمراجعة الداخلية
وفى جميع الدحوال» لا يجوز رفع الدعوي الجنائية عليهم الا بعد
‎١‏ والحوكمة ومدير عام التحقيقات
الحصول على هذا الطلب.
وذلك لدراسة ما ينسب من اتهام إلى موظفي المصلحة ممن
لهم صفة الضبطية القضائية أثناء تأدية أعمالهم أو بسيبه.
وللجنة أن تستعين بمن تراه وعليها إعداد تقرير بتوصياتها
للعرض على وزير المالية أو من يفوضه لاتخاذ اللازم نحو
إصدار طلب إجراء التحقيق في الجرائم الي تقع من موظفي
المصلحة المشار إليهم ف الفقرة السابقة.
ونصدر قرار من رئيس المصلحة بتشكيل الأمانة الفنية لتلك
اللجنة. *
*معدلة بالقرار الوزاري رقم /ا0 لسنة ‎٠١77‏ بتاريخ ه-فبراير-
‎١‏
‏دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع دمع .طتقء اع صق ااهل © مكمز :اتهصع | 110
المحاسب القانوني 74 0< خأ خط هما"
111,"فهرس القانون
الجرائم والعقودات
‎٠‏
‏المواد من 11 الى ‎٠/7”‏
‏دكان الضرائب تجميع واعداد: مصطفى سلامة عبد السميع حرم .طاتدءل اعصة ااهل © مص :القع
| كان ااضراتب | المحاسب القانوني 4 م انططها/ا تقد"
112,"الباب الخامس
(مادة 13)
*ملغاة بقانون الإجراءات الضرببية الموحد الصادر بتاريخ
ملسم 0
(مادة /51)

مع عدم الاخلال بأية عقوبة اشد منصوص عليها في أي قانون
اخر يعاقب على التهرب من الضردبة وضريبة الجدول بالسجن
مدة لا تقل عن ثلاث سنوات ولا تجاوز خمس سنوات وبغرامة
لاتقل عن خمسه الاف جنيه ولا تجاوز خمسون ألف جنيه او
باحدى هاتين العقوبتين.

ويجوز الحكم بمصادرة وسائل النقل والادوات والمواد التي
استعملت في التهريب وذلك فيما عدا السفن والطائرات ما لم
تكن اعدت او اجرت فعلا بمعرفة مالكيها لهذا الغرض وبحكم
على الفاعلين متضامنين بالضردبة أو ضريبة الجدول أو كليهما
بحسب الاحوال والضريبة الاضافية

وتضاعف العقوبة المنصوص عليها بالفقرة الاول من هذه
المادة في حالة تكرار الجريمة خلال ثلاث سنوات وتنظر قضايا
التهرب عند إحالتها إلى المحاكم على وجه الاستعجال.

وفى جميع الاحوال تعد جريمة التهرب من الضريبة وضريية
الجدول من الجرائم المخلة بالشرف والامانة.

(مادة /71 مكرر)
مع عدم الاخلال بالعقوبات المنصوص عليها في هذا القانون او
أي قانون اخرء في حالة عدم قيام المسجل غير المقيم بالوفاء
باي من الالتزامات التي يقررها هذا القانون» للوزير ان يطلب
من النيابة العامة الامر بمنع او تقييد النفاذ اللي السوق المصرية
المحاسب القانوني 004 0 0 اما"
113,"اللي ان يقوم المسجل بالوفاء بهذا الالتزام وما يترتب علية من
اثار» وعلى الجهات المختصة تنفيذ هذا الامر فور صدوره.
*مضافة بقانون بالقانون رقم ” بتاريخ 51-يناير-77١٠”‏

(مادة /31)
يعد تهردا من الخبرببة وضيريبة _الجدول _يعاقب علية
بالعقويات المنصوص عليها في المادة (11) من هذا القانون
ما بيأق:
١-عدم‏ التقدم للمصلحة للتسجيل في المواعيد المحددة.
؟-بيع السلعة او أداء الخدمة أو استيراد أي منهما دون الاقرار
عنها وسداد الضريبة وضريبة الجدول المستحقة
؟-خصم الضريبة أو ضريبة الجدول كليا او جزثئيا دون وجه حق
بالمخالفة لأحكام وحدود الخصم.
5-استرداد الضردبة أو ضريبة الجدول كلها او بعضها دون وجه
حق مع العلم بذلك.
ه-تقديم مستندات او سجلات مزوره او مصطنعة للتخلص
من سداد الضريبة وضريبة الجدول كلها او بعضها.
1 - عدم اصدار المسجل فواتير عن مبيعاته من السلع او
الخدمات الخاضعة للضريبة وضريبة الجدول.
/-اصدار غير مسجل لفواتير محمله بالضرييبة وضريبة
الجدول.
‎-٠‏ اصطنع فواتير للغير دون ان تكون صادرة عن عمليات
بيع حقيقية وتقع المسئولية بالتضامن بين مصدر الفاتورة
المصطنعة والمستفيد منها.

المحاسب القانوني 2774 أاخطه ما"
114,"5- حيازة السلع الخاضعة للضريبة بقصد الاتجار مع العلم
بأنها مهرية.
‎-١‏ عدم تقديم اقرار ضربي نهاني وتسديد كامل الضيدبة
المستحقة بموجب هذا القانون خلال ستة أشهر من تاريخ
إلغاء التسجيل.
‎-١ 5‏ عدم الالتزام بأحكام المادة (20) أو المادة (؟5) من هذا
القانون.
065- وضع علامات او أختام مصطنعة للتخلص من سداد
ضريبة الجدول كلها او بعضها.
7-قيام المنتج أو الموزع او التاجر ببيع سلع الجدول التي
يكون وعاء الضييبة وضريبة الجدول عليها هو سعر بيع
المستهلك بسعر أعلى من السعر الذي تم احتساب الضردبة
عليه سواء السعر المعلن من المنتجين او المستوردين لتلك
السلع او الوارد بالقوائم السعرية المحددة بمعرفة الوزير وذلك
كله دون سداد الضريبة المستحقة على الزبادة في السعر.
‎-١١/‏ حيازة سلع الجدول بقصد الاتجار دون ان يكون ملصقا
عليها العلامة المميزة (البندرول) والتي يصدر قرار من الوزير
بوضع هذه العلامة عليها.
التصرف في السلع المعفاة من الضريبة وضريبة الجدول أو
استعمالها في غير الغرض الذي اعفيت من اجله خلال فترة
الحظر دون اخطار المصلحة وسداد الضريبة المستحقة.
8- عدم الالتزام بأحكام المادة الرابعة أو المادة الخامسة من
مواد الإصدار.
*معدلة بقانون الإجراءات ا لضيمية الموحد الصادر بتاريخ
00-0

المحاسب القانوني 4 ا060726 عاط"
115,"(مادة19)
مع عدم الإخلال بالأحكام المنصوص عليها بالمادة (/11) من
هذا القانون» يحكم بمصادرة السلع الواردة بالجدول المرافق
لهذا القانون موضوع التهربء فإذا لم تضبط حكم بما يعادل
قيمتهاء ويجوز الحكم بمصادرة وسائل النقل والأدوات والمواد
التي استعملت في التهرب وذلك عدا السفن والطائرات مالم تكن
أعدت خصيصا أو أجرت فعلا لهذا الغرض.

(مادة ‎)1/١‏ (مادة /)
*ملغاة بقانون الإجراءات الضردبية الموحد الصادر بتاريخ 1 - | *ملغاة بالقرار الوزارى رقم 5187 لسنة ‎5١1١‏ والصادر بتارب
متنك “-يونيو- ‎7١7١‏

(مادة ‎)/١‏
‏يعاقب بالوقف عن ممارسة المهنة لمدة عام وبغرامة لا تقل
عن عشرة آلاف جنيه ولأتجاوز خمسين ألف جنيه كل محاسب
مقيد بجدول المحاسبين والمراجعين خالف الالتزام المنصوص
عليه في الفقرة الإخيرة من المادة ‎٠١‏ من هذا القانون وفى حالة
العود تضاعف العقوبة الأصلية.

(مادة ‎)87/١‏ (مادة 5/ا)
اام ""-يونيو-١‏ 17

المحاسب القانوني 7704 أاضخطه ما"
116,"فهرس القانون
المواد من ""/ الى ‎٠/5‏
‏تجميع واعداد: مصطفى سلامة عبد السميع لم .انه لاعصق ااهل مه مكصا :اأقصع
| كان ااضراتب | المحاسب القائوني 4 ااا أطهالا عند"
117,"الياب السادس
أحكام ختامية
(مادة ؟/ا)
*ملغاة بقانون الإجراءات الضريبية الموحد الصادر بتاريخ 19-
5.5.2
(مادة /17) (مادة ه/ا)

يجوز للوزير بعد موافقة مجلس الوزراء تقرير نظام حوافز | في تطبيق حكم المادة (15) من القانون يجوز للوزير بعد

لتشجيع التعامل بالفواتير الضريبية على أن يتضمن هذا النظام | موافقة مجلس الوزراء تقرير نظام للحوافز في صورة

المجالات والشروط والقوائم اللازمة لتنفيذه وذلك بما لا يجاوز | تخفيضات او جوائز نقدية او رد ضريبة تمنح للمستهلك

‎١‏ 96 من الضريية المحصلة سنوباً وتحدد اللائحة التنفيذية | النهائي المشارك في هذا النظام شريطة تقديم فواتير ضريبية

‏القواعد المنظمة لذلك. صحيحة:» ودكون اختيار المستهلكين الفائزين من خلال
سحب دوري او برامج مسابقاتء» ويجوز ان يتضمن هذا
النظام منح جوائز لتجار التجزئة المشاركين فيه» ويتم اختيار
التجار الفائزين بذات الطريقة. *
ويصدر بتحديد المجالات التي تطبق عليها هذه الحوافز
والجوائز ونظم إدارتها قرار من الوزير بعد موافقة مجلس
الوزراء على ذلك.
*(معدية بقرار وزبر المالية رقم 0914 لسنة ‎٠١7٠١‏ بتاريخ
5 ديسمبر-. ‎.)٠١١‏

‏المحاسب القانوني 2774 أاخطه ما"
118,"‎٠‏ 6 وه
سلع وخدمات الجدول المراقفق لقانون
لف ‎٠»© © ٠0 ٠.٠‏
الضردية على القيمة المضاقة
تجميع واعداد: مصطفي سلامة عبد السميع زع طتقءلاعصق لاه ©6ملمز :اتهصدع
| كان اضرب | المحاسب القانوني 4 <ا<8626 2 نأضلا عند"
119,"ع .ا« ‎٠.‏
‏اولا: سلع وخدمات تخضع لضردية
الجدول فقط
جدول
وعددها ‎""١0""‏ سلعة وخدمة
| كان ااضراتب | تجميع واعداد: مصطفي سلامة عبد السميع زوء. طأوءلاعصق ل كاه © مطص1 :اأهص-ع عند
المحاسب القانوني 0004 0 امعان"
120,"سلع وخدمات الجدول المرافق لقانون الضردبة على القيمة المضافة فهرس القانون
أولا: سلع وخدمات تخضع لضرببة الجدول فقط
|() تبغ خام اوغير مصنوع وفضلاته لي سس
|| ممم 000 سه مساو سس كوميق
سك ]سه ايسا سس مويق
كك (ب) تبغ مصنوع خلاصات وارواح تبغ:
| | سبد تعاضو دكبوس | انبة |1ابدال جنك عيرست
؟-سيجار توسكاني (السيجار المستخدم في القلمة ‎)967٠١(‏ بحد أدني ‎١0‏ جنيه لكل كجم مصنع
صناعته الأدخنة السوداء المسواة بالنار) 1
ل-السجائر (527؟, 0 31) (0-0“) من سعر بيع المستهلك النهائي بالإضافة إلى:
‎٠‏ قرش للعبوة من أصناف السجائر المنتجة من
لكل ‎١‏ المصانع المحلية والتي لا يزيد سعر بيع المستهلك
000 | النهائي على 48 جنيها.
‎70٠ | 0000‏ قرش للعبوة من أصناف السجائر المصنعة محلياً و
ات التي يزيد سعر بيع المستهلك النهائي على /؟ جنيه ولا
1 يجاوز 15 جنيه او المستوردة التى لا يجاوز سعرها 14
5 ٍ
النسيبة : ِ
‎٠ :‏ قرش للعبوة من أصناف السجائر المصنعة محلياً او
المستوردة والتي لا يزيد سعر بيعها للمستهلك النهاني 14
:-المسعل والنشوق والمدغه ودخان الث
لنشو لشعر
المخلوط وغير المخلوط القلمة
‎٠‏ المستورد (25) _ 6
« المحلى عقاز
1-غيرها ‎,١(‏ ؟) لقمة (9600) بحد أدنى ‎١1‏ جنيه عن الكيلو جرام(صافي) من
القيمة .
ا الدخان الخام الداخل في صناعتها
/ا-منتجات التبغ المسخن (7) الكيلو جرام | ‎١18٠٠‏ جنية على الكيلو جرام صافي من التبغ
صافي
دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع تمع طأقء لاع صقا اول © مكمز :اتوصمع | 120
المحاسب القانوني 4 مم انها"
121,"1. تعدل أسعار بيع الأصناف للمستهلك النهائي والمعلنة في تاريخ العمل بهذا القانون او التي تصدر بها قرار
من الوزيرء ايهما اكبر هي الحد الأدنى لوعاء حساب ضريبة الجدول المستحقة علي تلك الأصناف. **

2. تحصل ضريبة الجدول علي اجمالي سعر بيع المستهلك النهاني ( شاملاً جميع الضرائب والرسوم) من
المنتج اوالمستورد عند الافراج الجمري. *

3. يزاد بنسبة ‎)١17(‏ سنوداً » »لمدة ثلاث سنوات تبدا من © نوفمبر ‎7١70‏ الحدين الأدنى والأعلى لسعر
الأصناف الواردة قرين المسلسل( ١/ب/7)‏ من البند اول من جدول السلع والخدمات المرافق بالقانون
» ويجوز لمجلس الوزراء بناءً علي عرض الوزير تخفيض هذه النسبة السنوية بشكل يتناسب مع تحليل
وتقييم تطور تكلفة الإنتاج الفعلية المؤثرة علي سعر بيه تلك الأصناف للمستهلك النهائي. **

4. يقصد بالمصانع المحلية في تطبيق احكام المسلسل ( اول ١/ب/١)‏ المصانع التى يُرخص لها من الجهات
المعنية بتصنيع السجائر ومنتجات التبغ محليا » وفق الشروط التي تم طبقاً لها منح رخص لإنتاج
السجائر ومنتجات التبغ **

5. يزداد بنسبة (؟١<)‏ سنوباً ولمدة خمس سنوات تبدأ من تاريخ العمل بأحكام هذا القانون » الحدين الأدنى
والأعلى لسعر الأصناف الواردة بالمسلسل ( اولاً: تابع ١/ب/7)‏ من جدول السلع والخدمات المرافق للقانون
. وبجوز لمجلس الوزراء بناءً عي عرض الوزير تخفيض هذه النسبة السنوية بشكل يتناسب مع تحليل
وتقييم لتطور تكلفة الإنتاج الفعلية المؤثرة علي سعر بيع منتجات السجائر للمستهلك النهاني.

6. يقصد بالمصانع المحلية في تطبيق احكام المسلسل ( اولآك١/ب/١)‏ المصانع التي يرخص لها من الجهات
المعنية بتصنيع السجائر ومنتجات التبغ محلياً » وفق الشروط التي تم طبقاً لها رخص لإنتاج السجائر
ومنتجات التبخ.

7. يشمل هذا المبلغ التبغ المصنع الذي يصدر عن استخدامه بخار ( هباء) دون اختراق التبغ» وقد يكون التبغ
علي شكل. عيدان من التبغ اوكبسول او أي اشكال اخري.
*معدلة بقانون بالقانون رقم ‎١‏ بتاريخ ؟-نوفمبر-77.؟
** معدلة بالقانون رقم /ا5١‏ بتاربخ /١ايوليو-70 ‎٠١‏

دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع تامع طأقءلاعصق او © مأم1 :اتقصع | 121

المحاسب القانوني 4 << اط ما"
